Title,Bucket,Level,Domain,Practice ID,Parent,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Remediate AC.L1-3.1.1 gaps,L1 Access Control,Level 1,AC,AC.L1-3.1.1,Complete AC Level 1 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Gap assessment; evidence review for AC.L1-3.1.1,L1;AC;Remediation;AC.L1-3.1.1,"Close any documentation, implementation, or evidence gaps found for AC.L1-3.1.1 Authorized Access Control.",Gaps for AC.L1-3.1.1 are closed or formally tracked with owner and due date.
Validate AC.L1-3.1.2 Transaction and Function Control,L1 Access Control,Level 1,AC,AC.L1-3.1.2,Complete AC Level 1 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 1 policy and procedure,L1;AC;Practice;AC.L1-3.1.2,Validate implementation of AC.L1-3.1.2 Transaction and Function Control in the live environment.,AC.L1-3.1.2 is implemented or a concrete gap is documented.
Collect evidence for AC.L1-3.1.2,L1 Access Control,Level 1,AC,AC.L1-3.1.2,Complete AC Level 1 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L1-3.1.2 Transaction and Function Control; Level 1 evidence index,L1;AC;Evidence;AC.L1-3.1.2,Collect artifact and operational proof for AC.L1-3.1.2 Transaction and Function Control.,"Evidence for AC.L1-3.1.2 is current, stored, and mapped in the evidence index."
Remediate AC.L1-3.1.2 gaps,L1 Access Control,Level 1,AC,AC.L1-3.1.2,Complete AC Level 1 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Gap assessment; evidence review for AC.L1-3.1.2,L1;AC;Remediation;AC.L1-3.1.2,"Close any documentation, implementation, or evidence gaps found for AC.L1-3.1.2 Transaction and Function Control.",Gaps for AC.L1-3.1.2 are closed or formally tracked with owner and due date.
Validate AC.L1-3.1.20 External Connections,L1 Access Control,Level 1,AC,AC.L1-3.1.20,Complete AC Level 1 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 1 policy and procedure,L1;AC;Practice;AC.L1-3.1.20,Validate implementation of AC.L1-3.1.20 External Connections in the live environment.,AC.L1-3.1.20 is implemented or a concrete gap is documented.
Collect evidence for AC.L1-3.1.20,L1 Access Control,Level 1,AC,AC.L1-3.1.20,Complete AC Level 1 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L1-3.1.20 External Connections; Level 1 evidence index,L1;AC;Evidence;AC.L1-3.1.20,Collect artifact and operational proof for AC.L1-3.1.20 External Connections.,"Evidence for AC.L1-3.1.20 is current, stored, and mapped in the evidence index."
Remediate AC.L1-3.1.20 gaps,L1 Access Control,Level 1,AC,AC.L1-3.1.20,Complete AC Level 1 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Gap assessment; evidence review for AC.L1-3.1.20,L1;AC;Remediation;AC.L1-3.1.20,"Close any documentation, implementation, or evidence gaps found for AC.L1-3.1.20 External Connections.",Gaps for AC.L1-3.1.20 are closed or formally tracked with owner and due date.
Validate AC.L1-3.1.22 Control Public Information,L1 Access Control,Level 1,AC,AC.L1-3.1.22,Complete AC Level 1 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 1 policy and procedure,L1;AC;Practice;AC.L1-3.1.22,Validate implementation of AC.L1-3.1.22 Control Public Information in the live environment.,AC.L1-3.1.22 is implemented or a concrete gap is documented.
Collect evidence for AC.L1-3.1.22,L1 Access Control,Level 1,AC,AC.L1-3.1.22,Complete AC Level 1 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L1-3.1.22 Control Public Information; Level 1 evidence index,L1;AC;Evidence;AC.L1-3.1.22,Collect artifact and operational proof for AC.L1-3.1.22 Control Public Information.,"Evidence for AC.L1-3.1.22 is current, stored, and mapped in the evidence index."
Remediate AC.L1-3.1.22 gaps,L1 Access Control,Level 1,AC,AC.L1-3.1.22,Complete AC Level 1 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Gap assessment; evidence review for AC.L1-3.1.22,L1;AC;Remediation;AC.L1-3.1.22,"Close any documentation, implementation, or evidence gaps found for AC.L1-3.1.22 Control Public Information.",Gaps for AC.L1-3.1.22 are closed or formally tracked with owner and due date.
Complete IA Level 1 family readiness,L1 Identity & Auth,Level 1,IA,,,Epic,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Level 1 scope; owner matrix,L1;IA;Epic;Family,"Complete Level 1 IA documentation, implementation validation, evidence, review, and approval.",IA Level 1 family package is complete and traceable to all applicable practices.
Finalize IA Level 1 policy,L1 Identity & Auth,Level 1,IA,,Complete IA Level 1 family readiness,Policy,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Complete IA Level 1 family readiness; level_1 IA artifacts,L1;IA;Policy,Tailor the Level 1 IA policy content to the live FCI environment.,Policy is approved and reflects the current operating environment.
Finalize IA Level 1 procedure,L1 Identity & Auth,Level 1,IA,,Complete IA Level 1 family readiness,Procedure,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Complete IA Level 1 family readiness; level_1 IA artifacts,L1;IA;Procedure,"Document how Level 1 IA controls are performed, maintained, and evidenced in operations.","Procedure is approved, operationally accurate, and linked to evidence sources."
Validate IA Level 1 family implementation,L1 Identity & Auth,Level 1,IA,,Complete IA Level 1 family readiness,Implementation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Policy and procedure for IA,L1;IA;Implementation,"Validate the family-level implementation approach, tooling, records, and operating cadence for IA.",Family-level implementation checks are complete and deficiencies are recorded.
Collect IA Level 1 family evidence set,L1 Identity & Auth,Level 1,IA,,Complete IA Level 1 family readiness,Evidence,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA implementation validation; evidence index,L1;IA;Evidence,Assemble the baseline artifact and proof set for the Level 1 IA family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review IA Level 1 family package,L1 Identity & Auth,Level 1,IA,,Complete IA Level 1 family readiness,Review,High,Sulaiman Ahmad,Andy Volk; Sulaiman Ahmad,IA family evidence set,L1;IA;Review,"Review the full Level 1 IA package for completeness, traceability, and readiness.",The family package passes internal review or has tracked corrective actions.
Approve IA Level 1 family package,L1 Identity & Auth,Level 1,IA,,Complete IA Level 1 family readiness,Approval,High,Ryan Lin,Joshua Hornback,IA family review complete,L1;IA;Approval;Executive,Approve the Level 1 IA package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate IA.L1-3.5.1 Identification,L1 Identity & Auth,Level 1,IA,IA.L1-3.5.1,Complete IA Level 1 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 1 policy and procedure,L1;IA;Practice;IA.L1-3.5.1,Validate implementation of IA.L1-3.5.1 Identification in the live environment.,IA.L1-3.5.1 is implemented or a concrete gap is documented.
Collect evidence for IA.L1-3.5.1,L1 Identity & Auth,Level 1,IA,IA.L1-3.5.1,Complete IA Level 1 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L1-3.5.1 Identification; Level 1 evidence index,L1;IA;Evidence;IA.L1-3.5.1,Collect artifact and operational proof for IA.L1-3.5.1 Identification.,"Evidence for IA.L1-3.5.1 is current, stored, and mapped in the evidence index."
Remediate IA.L1-3.5.1 gaps,L1 Identity & Auth,Level 1,IA,IA.L1-3.5.1,Complete IA Level 1 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Gap assessment; evidence review for IA.L1-3.5.1,L1;IA;Remediation;IA.L1-3.5.1,"Close any documentation, implementation, or evidence gaps found for IA.L1-3.5.1 Identification.",Gaps for IA.L1-3.5.1 are closed or formally tracked with owner and due date.
Validate IA.L1-3.5.2 Authentication,L1 Identity & Auth,Level 1,IA,IA.L1-3.5.2,Complete IA Level 1 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,IA Level 1 policy and procedure,L1;IA;Practice;IA.L1-3.5.2,Validate implementation of IA.L1-3.5.2 Authentication in the live environment.,IA.L1-3.5.2 is implemented or a concrete gap is documented.
Collect evidence for IA.L1-3.5.2,L1 Identity & Auth,Level 1,IA,IA.L1-3.5.2,Complete IA Level 1 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate IA.L1-3.5.2 Authentication; Level 1 evidence index,L1;IA;Evidence;IA.L1-3.5.2,Collect artifact and operational proof for IA.L1-3.5.2 Authentication.,"Evidence for IA.L1-3.5.2 is current, stored, and mapped in the evidence index."
Remediate IA.L1-3.5.2 gaps,L1 Identity & Auth,Level 1,IA,IA.L1-3.5.2,Complete IA Level 1 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Gap assessment; evidence review for IA.L1-3.5.2,L1;IA;Remediation;IA.L1-3.5.2,"Close any documentation, implementation, or evidence gaps found for IA.L1-3.5.2 Authentication.",Gaps for IA.L1-3.5.2 are closed or formally tracked with owner and due date.
Complete MP Level 1 family readiness,L1 Media Protection,Level 1,MP,,,Epic,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Level 1 scope; owner matrix,L1;MP;Epic;Family,"Complete Level 1 MP documentation, implementation validation, evidence, review, and approval.",MP Level 1 family package is complete and traceable to all applicable practices.
Finalize MP Level 1 policy,L1 Media Protection,Level 1,MP,,Complete MP Level 1 family readiness,Policy,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Complete MP Level 1 family readiness; level_1 MP artifacts,L1;MP;Policy,Tailor the Level 1 MP policy content to the live FCI environment.,Policy is approved and reflects the current operating environment.
Finalize MP Level 1 procedure,L1 Media Protection,Level 1,MP,,Complete MP Level 1 family readiness,Procedure,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Complete MP Level 1 family readiness; level_1 MP artifacts,L1;MP;Procedure,"Document how Level 1 MP controls are performed, maintained, and evidenced in operations.","Procedure is approved, operationally accurate, and linked to evidence sources."
Validate MP Level 1 family implementation,L1 Media Protection,Level 1,MP,,Complete MP Level 1 family readiness,Implementation,Critical,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Policy and procedure for MP,L1;MP;Implementation,"Validate the family-level implementation approach, tooling, records, and operating cadence for MP.",Family-level implementation checks are complete and deficiencies are recorded.
Collect MP Level 1 family evidence set,L1 Media Protection,Level 1,MP,,Complete MP Level 1 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP implementation validation; evidence index,L1;MP;Evidence,Assemble the baseline artifact and proof set for the Level 1 MP family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review MP Level 1 family package,L1 Media Protection,Level 1,MP,,Complete MP Level 1 family readiness,Review,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP family evidence set,L1;MP;Review,"Review the full Level 1 MP package for completeness, traceability, and readiness.",The family package passes internal review or has tracked corrective actions.
Approve MP Level 1 family package,L1 Media Protection,Level 1,MP,,Complete MP Level 1 family readiness,Approval,High,Ryan Lin,Andy Volk,MP family review complete,L1;MP;Approval;Executive,Approve the Level 1 MP package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate MP.L1-3.8.3 Media Disposal,L1 Media Protection,Level 1,MP,MP.L1-3.8.3,Complete MP Level 1 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP Level 1 policy and procedure,L1;MP;Practice;MP.L1-3.8.3,Validate implementation of MP.L1-3.8.3 Media Disposal in the live environment.,MP.L1-3.8.3 is implemented or a concrete gap is documented.
Collect evidence for MP.L1-3.8.3,L1 Media Protection,Level 1,MP,MP.L1-3.8.3,Complete MP Level 1 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate MP.L1-3.8.3 Media Disposal; Level 1 evidence index,L1;MP;Evidence;MP.L1-3.8.3,Collect artifact and operational proof for MP.L1-3.8.3 Media Disposal.,"Evidence for MP.L1-3.8.3 is current, stored, and mapped in the evidence index."
Remediate MP.L1-3.8.3 gaps,L1 Media Protection,Level 1,MP,MP.L1-3.8.3,Complete MP Level 1 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Gap assessment; evidence review for MP.L1-3.8.3,L1;MP;Remediation;MP.L1-3.8.3,"Close any documentation, implementation, or evidence gaps found for MP.L1-3.8.3 Media Disposal.",Gaps for MP.L1-3.8.3 are closed or formally tracked with owner and due date.
Complete PE Level 1 family readiness,L1 Physical Protection,Level 1,PE,,,Epic,High,Andy Volk,Joshua Hornback; Ryan Lin,Level 1 scope; owner matrix,L1;PE;Epic;Family,"Complete Level 1 PE documentation, implementation validation, evidence, review, and approval.",PE Level 1 family package is complete and traceable to all applicable practices.
Finalize PE Level 1 policy,L1 Physical Protection,Level 1,PE,,Complete PE Level 1 family readiness,Policy,High,Andy Volk,Joshua Hornback; Ryan Lin,Complete PE Level 1 family readiness; level_1 PE artifacts,L1;PE;Policy,Tailor the Level 1 PE policy content to the live FCI environment.,Policy is approved and reflects the current operating environment.
Finalize PE Level 1 procedure,L1 Physical Protection,Level 1,PE,,Complete PE Level 1 family readiness,Procedure,High,Andy Volk,Joshua Hornback; Ryan Lin,Complete PE Level 1 family readiness; level_1 PE artifacts,L1;PE;Procedure,"Document how Level 1 PE controls are performed, maintained, and evidenced in operations.","Procedure is approved, operationally accurate, and linked to evidence sources."
Validate PE Level 1 family implementation,L1 Physical Protection,Level 1,PE,,Complete PE Level 1 family readiness,Implementation,Critical,Andy Volk,Joshua Hornback; Ryan Lin,Policy and procedure for PE,L1;PE;Implementation,"Validate the family-level implementation approach, tooling, records, and operating cadence for PE.",Family-level implementation checks are complete and deficiencies are recorded.
Collect PE Level 1 family evidence set,L1 Physical Protection,Level 1,PE,,Complete PE Level 1 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Ryan Lin,PE implementation validation; evidence index,L1;PE;Evidence,Assemble the baseline artifact and proof set for the Level 1 PE family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review PE Level 1 family package,L1 Physical Protection,Level 1,PE,,Complete PE Level 1 family readiness,Review,High,Andy Volk,Joshua Hornback; Ryan Lin,PE family evidence set,L1;PE;Review,"Review the full Level 1 PE package for completeness, traceability, and readiness.",The family package passes internal review or has tracked corrective actions.
Approve PE Level 1 family package,L1 Physical Protection,Level 1,PE,,Complete PE Level 1 family readiness,Approval,High,Ryan Lin,Andy Volk,PE family review complete,L1;PE;Approval;Executive,Approve the Level 1 PE package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate PE.L1-3.10.1 Limit Physical Access,L1 Physical Protection,Level 1,PE,PE.L1-3.10.1,Complete PE Level 1 family readiness,Practice,High,Andy Volk,Joshua Hornback; Ryan Lin,PE Level 1 policy and procedure,L1;PE;Practice;PE.L1-3.10.1,Validate implementation of PE.L1-3.10.1 Limit Physical Access in the live environment.,PE.L1-3.10.1 is implemented or a concrete gap is documented.
Collect evidence for PE.L1-3.10.1,L1 Physical Protection,Level 1,PE,PE.L1-3.10.1,Complete PE Level 1 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Ryan Lin,Validate PE.L1-3.10.1 Limit Physical Access; Level 1 evidence index,L1;PE;Evidence;PE.L1-3.10.1,Collect artifact and operational proof for PE.L1-3.10.1 Limit Physical Access.,"Evidence for PE.L1-3.10.1 is current, stored, and mapped in the evidence index."
Remediate PE.L1-3.10.1 gaps,L1 Physical Protection,Level 1,PE,PE.L1-3.10.1,Complete PE Level 1 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Ryan Lin,Gap assessment; evidence review for PE.L1-3.10.1,L1;PE;Remediation;PE.L1-3.10.1,"Close any documentation, implementation, or evidence gaps found for PE.L1-3.10.1 Limit Physical Access.",Gaps for PE.L1-3.10.1 are closed or formally tracked with owner and due date.
Validate PE.L1-3.10.3 Escort Visitors,L1 Physical Protection,Level 1,PE,PE.L1-3.10.3,Complete PE Level 1 family readiness,Practice,High,Andy Volk,Joshua Hornback; Ryan Lin,PE Level 1 policy and procedure,L1;PE;Practice;PE.L1-3.10.3,Validate implementation of PE.L1-3.10.3 Escort Visitors in the live environment.,PE.L1-3.10.3 is implemented or a concrete gap is documented.
Collect evidence for PE.L1-3.10.3,L1 Physical Protection,Level 1,PE,PE.L1-3.10.3,Complete PE Level 1 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Ryan Lin,Validate PE.L1-3.10.3 Escort Visitors; Level 1 evidence index,L1;PE;Evidence;PE.L1-3.10.3,Collect artifact and operational proof for PE.L1-3.10.3 Escort Visitors.,"Evidence for PE.L1-3.10.3 is current, stored, and mapped in the evidence index."
Remediate PE.L1-3.10.3 gaps,L1 Physical Protection,Level 1,PE,PE.L1-3.10.3,Complete PE Level 1 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Ryan Lin,Gap assessment; evidence review for PE.L1-3.10.3,L1;PE;Remediation;PE.L1-3.10.3,"Close any documentation, implementation, or evidence gaps found for PE.L1-3.10.3 Escort Visitors.",Gaps for PE.L1-3.10.3 are closed or formally tracked with owner and due date.
Validate PE.L1-3.10.4 Physical Access Logs,L1 Physical Protection,Level 1,PE,PE.L1-3.10.4,Complete PE Level 1 family readiness,Practice,High,Andy Volk,Joshua Hornback; Ryan Lin,PE Level 1 policy and procedure,L1;PE;Practice;PE.L1-3.10.4,Validate implementation of PE.L1-3.10.4 Physical Access Logs in the live environment.,PE.L1-3.10.4 is implemented or a concrete gap is documented.
Collect evidence for PE.L1-3.10.4,L1 Physical Protection,Level 1,PE,PE.L1-3.10.4,Complete PE Level 1 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Ryan Lin,Validate PE.L1-3.10.4 Physical Access Logs; Level 1 evidence index,L1;PE;Evidence;PE.L1-3.10.4,Collect artifact and operational proof for PE.L1-3.10.4 Physical Access Logs.,"Evidence for PE.L1-3.10.4 is current, stored, and mapped in the evidence index."
Remediate PE.L1-3.10.4 gaps,L1 Physical Protection,Level 1,PE,PE.L1-3.10.4,Complete PE Level 1 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Ryan Lin,Gap assessment; evidence review for PE.L1-3.10.4,L1;PE;Remediation;PE.L1-3.10.4,"Close any documentation, implementation, or evidence gaps found for PE.L1-3.10.4 Physical Access Logs.",Gaps for PE.L1-3.10.4 are closed or formally tracked with owner and due date.
Validate PE.L1-3.10.5 Manage Physical Access,L1 Physical Protection,Level 1,PE,PE.L1-3.10.5,Complete PE Level 1 family readiness,Practice,High,Andy Volk,Joshua Hornback; Ryan Lin,PE Level 1 policy and procedure,L1;PE;Practice;PE.L1-3.10.5,Validate implementation of PE.L1-3.10.5 Manage Physical Access in the live environment.,PE.L1-3.10.5 is implemented or a concrete gap is documented.
Collect evidence for PE.L1-3.10.5,L1 Physical Protection,Level 1,PE,PE.L1-3.10.5,Complete PE Level 1 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Ryan Lin,Validate PE.L1-3.10.5 Manage Physical Access; Level 1 evidence index,L1;PE;Evidence;PE.L1-3.10.5,Collect artifact and operational proof for PE.L1-3.10.5 Manage Physical Access.,"Evidence for PE.L1-3.10.5 is current, stored, and mapped in the evidence index."
Remediate PE.L1-3.10.5 gaps,L1 Physical Protection,Level 1,PE,PE.L1-3.10.5,Complete PE Level 1 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Ryan Lin,Gap assessment; evidence review for PE.L1-3.10.5,L1;PE;Remediation;PE.L1-3.10.5,"Close any documentation, implementation, or evidence gaps found for PE.L1-3.10.5 Manage Physical Access.",Gaps for PE.L1-3.10.5 are closed or formally tracked with owner and due date.
Complete SC Level 1 family readiness,L1 System & Comms Protection,Level 1,SC,,,Epic,High,Joshua Hornback,Sulaiman Ahmad,Level 1 scope; owner matrix,L1;SC;Epic;Family,"Complete Level 1 SC documentation, implementation validation, evidence, review, and approval.",SC Level 1 family package is complete and traceable to all applicable practices.
Finalize SC Level 1 policy,L1 System & Comms Protection,Level 1,SC,,Complete SC Level 1 family readiness,Policy,High,Joshua Hornback,Sulaiman Ahmad,Complete SC Level 1 family readiness; level_1 SC artifacts,L1;SC;Policy,Tailor the Level 1 SC policy content to the live FCI environment.,Policy is approved and reflects the current operating environment.
Finalize SC Level 1 procedure,L1 System & Comms Protection,Level 1,SC,,Complete SC Level 1 family readiness,Procedure,High,Joshua Hornback,Sulaiman Ahmad,Complete SC Level 1 family readiness; level_1 SC artifacts,L1;SC;Procedure,"Document how Level 1 SC controls are performed, maintained, and evidenced in operations.","Procedure is approved, operationally accurate, and linked to evidence sources."
