Title,Bucket,Level,Domain,Workstream,Priority,Owner,Supporting Owners,Source Files,Source Notes,Description,Definition of Done,Labels
Tailor Level 1 media handling documents,L1 Media Protection,Level 1,MP,Policy,High,Andy Volk,Joshua Hornback,level_1/MP.L1-b.1.vii-MediaDisposalPolicyTemplate.md; level_1/MP.L1-b.1.vii-MediaReuseProcedures.md; CMMC Class Handbook.md,Use the Level 1 MP practice section and existing MP files.,"Rewrite the media disposal and reuse documents so they describe the organization’s actual media handling process, including when media is sanitized, destroyed, reused, or retained.",The media policy and reuse procedure describe the real process and clearly state what staff must do with media that may contain FCI.,L1;MP;Policy
Collect Level 1 media disposal and sanitization evidence,L1 Media Protection,Level 1,MP,Evidence,High,Andy Volk,Joshua Hornback,level_1/MP.L1-b.1.vii-MediaDisposalLogTemplate.md; level_1/L1_prep_evidence_index.md,Use the disposal log template and the evidence index entry for MP.L1-3.8.3.,"Populate or revise the disposal log format so it can be used as operational evidence, then collect any existing sanitization or destruction records for in-scope media.",There is a usable disposal log format plus current records or a documented operational gap with an owner and closure plan.,L1;MP;Evidence
Tailor Level 1 physical access and visitor policies,L1 Physical Protection,Level 1,PE,Policy,High,Andy Volk,Ryan Lin; Joshua Hornback,level_1/PE.L1-b.1.viii-PhysicalAccessPolicy.md; level_1/PE.L1-b.1.ix-VisitorManagementPolicy.md; CMMC Class Handbook.md,Use the Level 1 PE sections and the existing PE policies.,"Update the physical access and visitor management policies to describe the real office, facility, or worksite controls in use. Include who is allowed access, how visitors are handled, how badges or other access methods are issued, and how the site is protected.",The physical access and visitor policies accurately describe the real site controls and can be followed by staff without extra explanation.,L1;PE;Policy
"Update Level 1 access lists, badge records, and visitor logs",L1 Physical Protection,Level 1,PE,Records,High,Andy Volk,Joshua Hornback,level_1/PE.L1-b.1.viii-AuthorizedAccessLists.md; level_1/PE.L1-b.1.viii-BadgeIssuanceRecords.md; level_1/PE.L1-b.1.ix-AccessLogs.md; level_1/PE.L1-b.1.ix-InventoryofPhysicalAccessDevices.md,Use the existing PE record files.,"Review and update the authorized access lists, badge issuance records, visitor or access logs, and physical access device inventory so they match the current environment.","The PE records are current, complete for in-scope personnel and sites, and ready to be cited as evidence.",L1;PE;Records;Evidence
Update Level 1 network protection documents and diagrams,L1 System & Communications Protection,Level 1,SC,Policy and Diagram,Critical,Joshua Hornback,Sulaiman Ahmad,level_1/SC.L1-b.1.x-NetworkMonitoringPolicy.md; level_1/SC.L1-b.1.xi-NetworkSegmentationPolicy.md; level_1/SC.L1-b.1.xi-NetworkDiagrams.md; CMMC Class Handbook.md,Use the Level 1 SC sections and the current SC files.,"Update the network monitoring, segmentation, and network diagram files so they reflect the current environment that handles FCI. Make sure the diagrams and text show the real boundary protections and any public-facing separation.",The SC documents and diagrams match the live environment and clearly show how the FCI boundary is protected.,L1;SC;Policy;Diagram
Validate Level 1 firewall and boundary controls,L1 System & Communications Protection,Level 1,SC,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,level_1/SC.L1-b.1.x-FirewallandIntrusionDetectionSystem.md; level_1/L1_prep_evidence_index.md,Use the firewall and IDS file plus the Level 1 evidence index.,"Review the actual firewall, IDS, monitoring, and segmentation controls in place for the in-scope environment. Update the record to show what is actually configured and collect the proof needed to demonstrate boundary protection.","The documented boundary protections match the implemented controls, and evidence is collected for the applicable SC Level 1 practices.",L1;SC;Implementation;Evidence
Update Level 1 patch and vulnerability documents,L1 System & Information Integrity,Level 1,SI,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,level_1/SI.L1-b.1.xii-PatchManagementPolicy.md; level_1/SI.L1-b.1.xii-VulnerabilityScanReportTemplate.md; CMMC Class Handbook.md,Use the Level 1 SI sections and existing SI patching files.,"Update the patch management policy and vulnerability scan reporting format so they describe the real tools, cadence, and remediation process used in the environment.",The patch and vulnerability documents describe the actual operating model and can be used to guide recurring evidence collection.,L1;SI;Policy
Update Level 1 malware protection documents,L1 System & Information Integrity,Level 1,SI,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,level_1/SI.L1-b.1.xiii-AntivirusManagementPolicy.md; level_1/SI.L1-b.1.xiv-AntivirusUpdatePolicy.md; level_1/SI.L1-b.1.xv-Antivirus Configuration.md,"Use the SI antivirus policy, update policy, and configuration file.","Update the malware protection, signature update, and antivirus configuration files so they match the actual toolset and operating settings in place.",The antivirus and update documentation reflects the live environment and names the real operating expectations.,L1;SI;Policy
"Collect Level 1 scanning, updates, and remediation evidence",L1 System & Information Integrity,Level 1,SI,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,level_1/SI.L1-b.1.xiii-AntivirusScanLogTemplate.md; level_1/SI.L1-b.1.xiv-AntivirusUpdateLogTemplate.md; level_1/SI.L1-b.1.xv-SystemScanLogTemplate.md; level_1/L1_prep_evidence_index.md,Use the SI log templates and the evidence index.,"Collect or update the actual scan logs, update logs, vulnerability results, and remediation records needed to prove periodic scanning, malicious code protection, and flaw remediation are happening in practice.","Current SI operating evidence exists for patching, malware protection, updates, and scanning, or the gaps are clearly logged for remediation.",L1;SI;Evidence;Implementation
Define the Level 2 CUI boundary,L2 Foundation,Level 2,Program,Scope,Critical,Ryan Lin,Joshua Hornback; Andy Volk; Sulaiman Ahmad,level_2/CMMC_L2_SSP_062025.md; CMMC_functional_project_plan.md; CMMC_L1_L2_gap_review.md,"Use the SSP, Level 2 plan, and Level 2 gap review.","Write the actual CUI scope statement. Identify the in-scope people, systems, services, locations, external providers, and data flows. Call out any assets that are out of scope or treated specially.",The organization has an approved Level 2 scope statement that can be used to justify the assessment boundary and drive the SSP update.,L2;Foundation;Scope;Executive
Tailor the Level 2 SSP to the real environment,L2 Foundation,Level 2,SSP,Documentation,Critical,Joshua Hornback,Andy Volk; Ryan Lin; Sulaiman Ahmad,level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,Use the SSP file and the handbook sections on scoping and assessment evidence.,"Replace placeholder text in the SSP with real system names, architecture details, asset inventory, trust zones, data flow descriptions, inherited services, and owner information. Remove references that do not apply.","The SSP reads like the organization’s real environment, not a template, and can be used as the primary reference for Level 2 readiness.",L2;Foundation;SSP
Assign Level 2 domain and evidence owners,L2 Foundation,Level 2,Program,Ownership,High,Andy Volk,Ryan Lin; Joshua Hornback; Sulaiman Ahmad,CMMC_functional_project_plan.md; level_2/L2_gap_register.md,Use the project plan team roles and the current Level 2 gap register.,"Define one accountable owner and any support owners for each Level 2 domain, the SSP, the evidence index, the POA&M, and the mock assessment process.",Every Level 2 domain and readiness artifact has a named accountable owner and support model.,L2;Foundation;Ownership
Build the Level 2 evidence index,L2 Foundation,Level 2,Program,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,level_2/L2_prep_evidence_index.md; level_2/CMMC_L2_SSP_062025.md,Use the Level 2 evidence index template and the SSP practice mappings.,"Create a practice-to-evidence map for Level 2 that points each practice to the intended policy, procedure, technical proof, operational record, and owner. Use the existing family files and the SSP mappings as the starting structure.",The evidence index covers the Level 2 practices in scope and clearly tells reviewers where each artifact or proof item should come from.,L2;Foundation;Evidence
Stand up the Level 2 POA&M and gap tracker,L2 Foundation,Level 2,Program,POA&M,Critical,Andy Volk,Joshua Hornback; Ryan Lin; Sulaiman Ahmad,level_2/L2_prep_POAM_tracker.md; level_2/L2_gap_register.md; CMMC_L1_L2_gap_review.md,"Use the POA&M tracker, gap register, and Level 2 gap review.","Convert the current gap picture into a usable remediation tracker. Record missing documents, missing evidence, implementation gaps, owners, target dates, and the expected closure artifact for each item.",There is one working Level 2 remediation tracker that the team can use to drive execution and report status.,L2;Foundation;POAM;Gap
Prepare the Level 2 mock assessment plan,L2 Foundation,Level 2,Program,Readiness,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad; Ryan Lin,level_2/L2_prep_mock_assessment_checklist.md; CMMC_functional_project_plan.md,Use the mock assessment checklist and the readiness milestones from the project plan.,"Turn the mock assessment checklist into an execution plan. Define who will present which domains, how evidence will be shown, what still blocks a useful mock assessment, and what pre-work must be completed first.","The team has a scheduled, owner-based mock assessment plan with clear prerequisites and logistics.",L2;Foundation;MockAssessment
Run the internal Level 2 mock assessment,L2 Foundation,Level 2,Program,Assessment,Critical,Joshua Hornback,Andy Volk; Ryan Lin; Sulaiman Ahmad,level_2/L2_prep_mock_assessment_checklist.md; level_2/L2_prep_evidence_index.md; level_2/CMMC_L2_SSP_062025.md,"Use the checklist, evidence index, and SSP as the assessment package.","Conduct the mock assessment, record which practices were demonstrably met, and capture every missing artifact, weak answer, or evidence problem into the POA&M.","The mock assessment is complete, findings are logged, and the team has a realistic readiness picture instead of an assumed one.",L2;Foundation;Assessment
Prepare the executive Level 2 readiness summary,L2 Foundation,Level 2,Program,Executive Reporting,High,Ryan Lin,Andy Volk; Joshua Hornback,CMMC_functional_project_plan.md; level_2/L2_prep_POAM_tracker.md; level_2/L2_gap_register.md,"Use the project plan, POA&M, and gap register.","Prepare the leadership view of Level 2 readiness. Summarize scope, strongest areas, highest-risk gaps, remaining work by owner, and the decision points that need executive approval or resource support.","Leadership can review one summary and understand the true Level 2 readiness posture, risks, and next decisions.",L2;Foundation;Executive
Create and tailor the Level 2 AC policy and procedure set,L2 Access Control,Level 2,AC,Policy,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,level_2/L2_gap_missing_domain_artifacts.md; level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,AC is called out as missing from the Level 2 folder. Use the SSP mappings for 3.1.1 through 3.1.22 and the handbook AC sections.,"Create the Level 2 Access Control policy and procedure set for the live CUI environment. Cover access authorization, CUI flow, privilege management, session controls, remote access, mobile and wireless controls, external systems, and public information handling.",There is a usable AC policy and procedure set that maps to the AC Level 2 practices and describes the real operating environment.,L2;AC;Policy;Gap
Validate Level 2 AC implementation,L2 Access Control,Level 2,AC,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad; Andy Volk,level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,Use the SSP control mapping and the handbook AC examples such as remote access and notices.,"Review the actual environment for least privilege, privileged access, failed logon handling, session lock and timeout, remote access protections, external system use, and mobile or wireless controls. Record any control gaps that prevent the documentation from being true.","The AC control set is validated against the real environment, and any mismatches are either fixed or recorded in the POA&M.",L2;AC;Implementation
Collect Level 2 AC evidence,L2 Access Control,Level 2,AC,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/CMMC_L2_SSP_062025.md,Use the Level 2 evidence index and the SSP mappings for the AC family.,"Collect the actual proof for the AC family: account and role records, approval records, remote access settings, banners, session settings, and any system exports or screenshots needed to support review.","The AC family has an evidence set that is current, organized, and mapped to the Level 2 evidence index.",L2;AC;Evidence
Create and tailor the Level 2 IA policy and procedure set,L2 Identity & Authentication,Level 2,IA,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/L2_gap_missing_domain_artifacts.md; level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,IA is called out as missing from the Level 2 folder. Use the SSP mappings for 3.5.1 through 3.5.11 and the handbook IA examples.,"Create the Level 2 IA policy and procedure set covering unique IDs, MFA, password controls, temporary passwords, identifier management, feedback masking, and authentication requirements for the real environment.",There is a usable IA policy and procedure set mapped to the Level 2 IA practices and tailored to the live environment.,L2;IA;Policy;Gap
Validate Level 2 IA controls,L2 Identity & Authentication,Level 2,IA,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,"Use the SSP IA mappings and handbook IA guidance, especially MFA.","Check the actual systems to confirm MFA coverage, password policy settings, account provisioning and deprovisioning, identifier handling, and authentication methods match the documented control set.","The IA controls are verified against the live environment, and any gaps are documented with enough detail to remediate them.",L2;IA;Implementation
Collect Level 2 IA evidence,L2 Identity & Authentication,Level 2,IA,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/CMMC_L2_SSP_062025.md,Use the Level 2 evidence index and SSP practice mappings for IA.,"Collect the account inventories, policy references, screenshots, exports, and other proof needed to demonstrate the identity and authentication controls in practice.","The IA family evidence set is current, organized, and mapped in the evidence index.",L2;IA;Evidence
Tailor the Level 2 AU policy and procedure set,L2 Audit & Accountability,Level 2,AU,Policy,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,level_2/AuditandAccountabilityPolicyLevel2v01a.md; level_2/AuditandAccountabilityProcedureLevel2v01a.md; level_2/CMMC_L2_SSP_062025.md,Use the existing AU files and SSP mappings for 3.3.1 through 3.3.9.,"Update the AU policy and procedure files to match the actual logging systems, retention approach, alerting process, time synchronization source, and review cadence in use. Remove any Level 3 or non-applicable text.",The AU documentation reflects the real audit and logging environment and can be used directly during readiness review.,L2;AU;Policy
Validate Level 2 logging and audit review operations,L2 Audit & Accountability,Level 2,AU,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/AuditandAccountabilityProcedureLevel2v01a.md; level_2/CMMC_L2_SSP_062025.md,Use the AU procedure and the SSP mappings.,"Confirm that the logging platform, audit protection, review process, alerting behavior, reporting, and time source controls are actually operating as documented.","The AU implementation is validated against the real environment, and any control gaps are recorded in the POA&M.",L2;AU;Implementation
Collect Level 2 AU evidence,L2 Audit & Accountability,Level 2,AU,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/AuditandAccountabilityPolicyLevel2v01a.md,Use the evidence index and the AU family files.,"Collect the operational proof for the AU family, including sample audit reviews, retention settings, alert records, and system configuration references that support the documented control set.",The AU evidence set is complete enough for an internal reviewer to trace the family from policy to operational proof.,L2;AU;Evidence
Tailor the Level 2 AT policy and procedure,L2 Awareness & Training,Level 2,AT,Policy,High,Andy Volk,Joshua Hornback,level_2/AwarenessandTrainingPolicyLevel2-3v01a.md; level_2/AwarenessandTrainingProcedureLevel2-3v01a.md; CMMC Class Handbook.md,Use the existing AT files and the handbook sections on awareness and training.,"Update the awareness and training documents so they describe the actual training model, role-based expectations, insider threat coverage, and cadence used by the organization.","The AT documents describe the real training program and clearly show what training is required, for whom, and how completion is tracked.",L2;AT;Policy
Validate Level 2 training completion and insider threat coverage,L2 Awareness & Training,Level 2,AT,Implementation,High,Andy Volk,Joshua Hornback,level_2/AwarenessandTrainingProcedureLevel2-3v01a.md; level_2/L2_prep_evidence_index.md,Use the AT procedure and the evidence index.,"Confirm that the defined training actually occurs, that role-based personnel are included, and that insider threat awareness is covered in a way that can be demonstrated.",The AT program is validated with real completion records or a clearly defined remediation plan for missing coverage.,L2;AT;Implementation;Evidence
Tailor the Level 2 CM policy and procedure set,L2 Configuration Management,Level 2,CM,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/ConfigurationManagementPolicyLevel2-3v01a.md; level_2/ConfigurationManagementProcedureLevel2-3v01a.md; level_2/CMMC_L2_SSP_062025.md,Use the CM files and the SSP mappings for 3.4.1 through 3.4.9.,"Update the configuration management policy and procedure to match the real baselines, change control process, security impact review, least functionality approach, and software control model used in the environment.",The CM documentation reflects the actual configuration and change management process used by the organization.,L2;CM;Policy
"Validate Level 2 baselines, change control, and software restrictions",L2 Configuration Management,Level 2,CM,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/ConfigurationManagementProcedureLevel2-3v01a.md; level_2/CMMC_L2_SSP_062025.md,Use the CM procedure and SSP mappings.,"Review how systems are baselined, how changes are approved, how security impact is considered, and how nonessential or user-installed software is restricted.","The CM controls are validated against the actual operating environment, and any gaps are recorded for remediation.",L2;CM;Implementation
Collect Level 2 CM evidence,L2 Configuration Management,Level 2,CM,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/ConfigurationManagementPolicyLevel2-3v01a.md,Use the evidence index and the CM files.,"Collect the baseline references, change records, approvals, and other operational proof needed to demonstrate the CM family during internal review.","The CM evidence set is organized, current, and traceable to the applicable Level 2 practices.",L2;CM;Evidence
Create the missing Level 2 IR policy and align it to the procedure,L2 Incident Response,Level 2,IR,Policy,High,Joshua Hornback,Andy Volk,level_2/IncidentResponseProcedureLevel2-3v01a.md; level_2/L2_gap_missing_domain_artifacts.md; CMMC Class Handbook.md,IR policy is called out as missing. Use the existing IR procedure and the handbook IR sections.,"Create the missing Incident Response policy and make sure it aligns with the current incident response procedure, roles, escalation path, testing expectations, and evidence handling approach.",The organization has both an IR policy and procedure that align to each other and describe the real operating process.,L2;IR;Policy;Gap
"Validate Level 2 incident reporting, handling, and testing workflow",L2 Incident Response,Level 2,IR,Implementation,High,Joshua Hornback,Andy Volk,level_2/IncidentResponseProcedureLevel2-3v01a.md; level_2/CMMC_L2_SSP_062025.md,Use the IR procedure and SSP mappings for 3.6.1 through 3.6.3.,"Confirm that incidents can be reported, escalated, investigated, and tested as documented. Check whether the organization can produce realistic records of incident handling and testing if asked.","The IR workflow is validated against real operations, and any missing steps or evidence are added to the POA&M.",L2;IR;Implementation
Collect Level 2 IR evidence,L2 Incident Response,Level 2,IR,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/IncidentResponseProcedureLevel2-3v01a.md,Use the evidence index and the IR procedure.,"Collect the artifacts needed to show incident handling, reporting, and testing, such as escalation records, exercise notes, response checklists, or sample logs.",The IR evidence set is current enough to support a walkthrough of the incident response process.,L2;IR;Evidence
Tailor the Level 2 maintenance policy and procedure,L2 Maintenance,Level 2,MA,Policy,High,Joshua Hornback,Andy Volk,level_2/MaintenancePolicyLevel2-3v01a.md; level_2/MaintenanceProcedureLevel2-3v01a.md; level_2/CMMC_L2_SSP_062025.md,Use the MA files and SSP mappings for 3.7.1 through 3.7.6.,"Update the maintenance documents to describe the real maintenance process, including remote maintenance, sanitation, inspection, and who is authorized to perform work on in-scope systems.",The MA policy and procedure reflect the real maintenance model used by the organization.,L2;MA;Policy
Validate Level 2 maintenance controls and collect support records,L2 Maintenance,Level 2,MA,Implementation,High,Joshua Hornback,Andy Volk,level_2/MaintenanceProcedureLevel2-3v01a.md; level_2/L2_prep_evidence_index.md,Use the MA procedure and evidence index.,"Confirm that maintenance is controlled as documented and collect the records or examples that show maintenance personnel, remote maintenance, and media inspection controls can be demonstrated.",The MA controls are validated and the supporting records are mapped into the evidence index.,L2;MA;Implementation;Evidence
Create and tailor the Level 2 MP policy and procedure set,L2 Media Protection,Level 2,MP,Policy,High,Andy Volk,Joshua Hornback,level_2/L2_gap_missing_domain_artifacts.md; level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,MP is called out as missing from the Level 2 folder. Use the SSP mappings for 3.8.1 through 3.8.9.,"Create the Media Protection policy and procedure set for the live CUI environment. Cover media access, disposal, marking, accountability, removable media, encryption, shared media, and backup protection.",There is a usable MP policy and procedure set mapped to the Level 2 MP practices and tailored to the actual environment.,L2;MP;Policy;Gap
"Validate Level 2 media handling, disposal, and backup controls",L2 Media Protection,Level 2,MP,Implementation,High,Andy Volk,Joshua Hornback,level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,Use the SSP MP mappings and the handbook media protection guidance.,"Check how media is actually handled today, including disposal, transport, marking, removable media use, and backup protection. Record any operating gaps between practice and documentation.","The MP controls are validated against real operations, and the key evidence and gaps are documented.",L2;MP;Implementation
Collect Level 2 MP evidence,L2 Media Protection,Level 2,MP,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/CMMC_L2_SSP_062025.md,Use the evidence index and the Level 2 MP practice mappings.,"Collect the operational records needed to support the MP family, such as disposal records, media inventories, handling logs, or backup protection evidence.","The MP evidence set is current, organized, and mapped into the evidence index.",L2;MP;Evidence
Tailor the Level 2 personnel security policy and procedure,L2 Personnel Security,Level 2,PS,Policy,High,Andy Volk,Ryan Lin,level_2/PersonnelSecurityPolicyLevel2-3v01a.md; level_2/PersonnelSecurityProcedureLevel2-3v01a.md; CMMC Class Handbook.md,Use the existing PS files and the handbook personnel security sections.,Update the personnel security documents to describe how screening and personnel actions are really handled for staff and contractors with in-scope access.,The PS policy and procedure reflect the actual screening and personnel action process used by the organization.,L2;PS;Policy
Validate Level 2 screening and personnel action controls,L2 Personnel Security,Level 2,PS,Implementation,High,Andy Volk,Ryan Lin,level_2/PersonnelSecurityProcedureLevel2-3v01a.md; level_2/L2_prep_evidence_index.md,Use the PS procedure and evidence index.,Confirm that screening and personnel action steps can be demonstrated with real records or with a clear documented operating process that is actually followed.,The PS family can be explained and evidenced through current records or an explicit remediation plan.,L2;PS;Implementation;Evidence
Create and tailor the Level 2 PE policy and procedure set,L2 Physical Protection,Level 2,PE,Policy,High,Andy Volk,Joshua Hornback; Ryan Lin,level_2/L2_gap_missing_domain_artifacts.md; level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,PE is called out as missing from the Level 2 folder. Use the SSP mappings for 3.10.1 through 3.10.6.,"Create the Physical Protection policy and procedure set for the live environment. Cover facility monitoring, visitor escorting, logs, physical access management, and alternative work sites.",There is a usable PE policy and procedure set mapped to the Level 2 PE practices and tailored to the actual sites and work model.,L2;PE;Policy;Gap
"Validate Level 2 facility access, visitor, and alternate work site controls",L2 Physical Protection,Level 2,PE,Implementation,High,Andy Volk,Joshua Hornback,level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,Use the SSP PE mappings and the handbook physical protection guidance.,"Check that the real facility access controls, visitor handling, logs, and alternate work site rules match what the documentation says. Identify any missing logs, missing approvals, or weak practices.","The PE controls are validated against the real environment, and the family gaps are recorded clearly enough to remediate.",L2;PE;Implementation
Collect Level 2 PE evidence,L2 Physical Protection,Level 2,PE,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/CMMC_L2_SSP_062025.md,Use the evidence index and the Level 2 PE mappings.,"Collect the records and proof needed for the PE family, such as access lists, visitor logs, monitoring records, and alternate site control records if applicable.",The PE evidence set is current and mapped into the evidence index in a way an internal reviewer can follow.,L2;PE;Evidence
